Loyalty Number,activity_ratio,booking_trend,recency_at_end_of_2017,total_flights_2017,distance_2017,redeem_ratio,points_per_flight,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,churn
480934,0.5833333333333334,0.0,0.0,18.0,25352.0,0.012700666587780539,1334.3157894736842,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,83236.0,Married,Star,3839.14,Standard,2016,2,0
549612,0.6666666666666666,0.0625,1.0,31.0,36136.0,0.021778232836151313,1129.25,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,73455.0,Divorced,Star,3839.61,Standard,2016,3,0
429460,0.5833333333333334,-0.2,1.0,16.0,22957.0,0.016290617649621048,1350.4117647058824,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,73455.0,Single,Star,3839.75,Standard,2014,7,1
608370,0.75,-0.631578947368421,0.0,24.0,33369.0,0.02589151932873839,1334.76,Canada,Ontario,Toronto,P1W 1K4,Male,College,73455.0,Single,Star,3839.75,Standard,2013,2,0
530508,0.3333333333333333,0.16666666666666666,1.0,11.0,19886.0,0.0,1657.1666666666667,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,103495.0,Married,Star,3842.79,Standard,2014,10,0
193662,0.7916666666666666,0.25,0.0,52.0,84718.0,0.010080383385073007,1598.4528301886792,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,51124.0,Married,Star,3844.57,Standard,2012,5,0
927943,0.5,-0.5,1.0,16.0,21692.0,0.05411884017885954,1276.0,Canada,Ontario,Toronto,P5S 6R4,Female,College,73455.0,Single,Star,3857.95,Standard,2014,6,0
188893,0.6666666666666666,-0.6111111111111112,1.0,23.0,42235.0,0.007907945828203429,1759.7916666666667,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,12,0
852392,0.5833333333333334,-0.625,0.0,20.0,36504.0,0.027119572661279276,1738.2857142857142,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,100159.0,Married,Star,3861.49,Standard,2015,5,0
866307,0.5833333333333334,-0.75,1.0,23.0,28135.0,0.03756752914415695,1172.2916666666667,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,10,0
